ID_Pesanan,Waktu_Transaksi,Kategori_Menu,Harga_Pesanan,Jarak_Kirim_KM,Waktu_Tunggu_Menit,Rating_Pelanggan,Ulasan_Teks,Status_Promo,Tingkat_Keluhan,Status_Pesanan
ORD-2024-000050,9/1/2024 7:25,Ayam,56500,7.384423313,34,5,Puas bgt,TRUE,Tidak Ada,Selesai
ORD-2024-000051,3/13/2024 11:39,Mie,31000,7.923595176,38,5,Wow enak bgt,FALSE,Rendah,Selesai
ORD-2024-000052,3/15/2024 19:59,Martabak,29500,3.450600367,46,2,"Narik duit banyak😡",FALSE,Tinggi,Dibatalkan
ORD-2024-000053,2/10/2024 14:08,Mie,33500,0.5,13,4,Makanan hangat sampai,FALSE,Tidak Ada,Selesai
ORD-2024-000054,2/28/2024 11:00,Mie,32000,2.310565594,5,,,TRUE,Tidak Ada,Selesai
ORD-2024-000055,3/13/2024 2:34,Kopi,17000,2.976430836,11,4,Nggg enak 😋,TRUE,Rendah,Dibatalkan
ORD-2024-000056,1/17/2024 2:56,Mie,25000,15.6943451,63,4,Buruan order!11,FALSE,Tidak Ada,Selesai
ORD-2024-000057,1/21/2024 21:45,Ayam,67000,16.61502418,65,1,Lama org kerjanyaa,FALSE,Tinggi,Refund
ORD-2024-000058,3/24/2024 21:19,Ayam,39500,5.847582549,24,,,FALSE,Rendah,Selesai
ORD-2024-000059,1/18/2024 11:47,Ayam,26500,,27,5,Enak bgt,FALSE,Tidak Ada,Selesai
ORD-2024-000060,2/6/2024 19:13,Ayam,3400000,9.190517074,47,,,FALSE,Tidak Ada,Selesai
ORD-2024-000061,3/2/2024 19:57,Kopi,12000,2.845366915,16,4,Wow enak bgt,FALSE,Tidak Ada,Selesai
ORD-2024-000062,1/12/2024 19:02,Ayam,36000,,5,5,Top bgt kualitasnya,FALSE,Tidak Ada,Selesai
ORD-2024-000063,1/17/2024 19:10,Mie,19500,1.568658429,24,4,Cepat sampai,FALSE,Tidak Ada,Selesai
ORD-2024-000064,2/24/2024 17:04,Kopi,18500,1.155529582,16,5,Makasih ya,FALSE,Tinggi,Selesai
ORD-2024-000065,1/20/2024 19:37,Ayam,43000,1.866635805,31,4,Rekomendasi deh,TRUE,Tidak Ada,Selesai
ORD-2024-000066,1/17/2024 13:57,Kopi,15500,0.5,5,5,Enak bgttt,FALSE,Tidak Ada,Selesai
ORD-2024-000067,1/6/2024 6:43,Ayam,66500,,11,2,Kecewa bgt,FALSE,Tinggi,Dibatalkan
ORD-2024-000068,2/15/2024 13:39,Mie,20500,5.847714538,36,5,Mantap gan!!,FALSE,Tidak Ada,Selesai
ORD-2024-000069,1/31/2024 5:56,Ayam,47000,0.5,22,5,Cepat sampai,FALSE,Tidak Ada,Selesai
ORD-2024-000070,12/2/2024 13:51,Mie,28500,0.5,16,5,Puas bgt,FALSE,Tidak Ada,Selesai
ORD-2024-000071,2/1/2024 11:24,Martabak,2134000,0.5,7,4,Nggg enak 😋,FALSE,Tidak Ada,Selesai
ORD-2024-000072,1/3/2024 14:22,Ayam,69500,1.547894132,30,,,TRUE,Rendah,Dibatalkan
ORD-2024-000073,1/30/2024 12:25,Ayam,50000,17.41435838,72,2,😠😠😠,TRUE,Tinggi,Selesai
ORD-2024-000074,1/9/2024 8:22,Mie,1000,0.57115045,13,4,Wow enak bgt,FALSE,Tidak Ada,Selesai
ORD-2024-000075,3/27/2024 17:21,Martabak,45500,0.5,21,1,"Narik duit banyak😡",TRUE,Tinggi,Selesai
ORD-2024-000076,2/3/2024 13:02,Martabak,31000,7.397279646,54,1,Paket berantakan,TRUE,Tinggi,Selesai
ORD-2024-000077,14/02/2024 10:27,Martabak,36000,6.412496568,32,5,Akan order lg nih,FALSE,Tidak Ada,Selesai
ORD-2024-000078,1/15/2024 21:12,Ayam,48000,0.5,39,3,OK,FALSE,Rendah,Dibatalkan
ORD-2024-000079,2/25/2024 12:23,Kopi,18000,4.179424772,26,5,Sesuai pesanan,TRUE,Tidak Ada,Selesai
ORD-2024-000080,26/03/2024 19:20,Ayam,79500,3.1966849,26,,,TRUE,Rendah,Selesai
ORD-2024-000081,2/8/2024 20:20,Mie,11000,4.379703996,22,5,Driver ramah,TRUE,Tidak Ada,Selesai
ORD-2024-000082,3/11/2024 14:42,Martabak,33000,2.04663629,22,3,Gapapa,FALSE,Tinggi,Dibatalkan
ORD-2024-000083,23/01/2024 19:25,Ayam,87500,14.26073859,66,4,Enak bgt!!,TRUE,Tidak Ada,Selesai
ORD-2024-000084,2/8/2024 14:50,Ayam,56000,0.5,24,2,Lama bgt nunggunya,FALSE,Tinggi,Selesai
ORD-2024-000085,2/11/2024 20:43,Ayam,79000,0.80117498,19,2,😠😠😠,FALSE,Tinggi,Selesai
ORD-2024-000086,1/22/2024 9:32,Ayam,41000,1.515256325,10,3,Standar lah,TRUE,Rendah,Selesai
ORD-2024-000087,2/12/2024 12:43,Martabak,30000,1.792300019,21,3,Gapapa,TRUE,Rendah,Selesai
ORD-2024-000088,1/26/2024 11:15,Martabak,30500,7.628906825,33,4,Puas bgt,FALSE,Tidak Ada,Selesai
ORD-2024-000089,1/10/2024 21:12,Mie,10500,2.462971411,26,,,TRUE,Tidak Ada,Selesai
ORD-2024-000090,3/4/2024 18:41,Kopi,1734500,0.5,8,4,Sesuai pesanan,FALSE,Tidak Ada,Selesai
ORD-2024-000091,14/01/2024 07:11,Ayam,32000,1.572051571,5,,,FALSE,Tidak Ada,Selesai
ORD-2024-000092,7/3/2024 21:15,Martabak,35500,1.616083188,7,5,Nggg enak 😋,FALSE,Tidak Ada,Selesai
ORD-2024-000093,28/02/2024 14:42,Martabak,20000,10.09960001,37,5,Puas bgt,TRUE,Tidak Ada,Selesai
ORD-2024-000094,3/17/2024 14:39,Kopi,15500,2.742856414,17,3,Standar lah,FALSE,Tidak Ada,Selesai
ORD-2024-000095,3/5/2024 21:28,Martabak,37500,3.028929824,15,,,TRUE,Tinggi,Selesai
ORD-2024-000096,3/1/2024 18:53,Kopi,15500,3.747465282,25,3,OK,TRUE,Rendah,Selesai
ORD-2024-000097,3/7/2024 18:17,Kopi,15000,4.409540767,24,4,Akan order lg nih,TRUE,Tidak Ada,Selesai
ORD-2024-000098,2/6/2024 13:20,Kopi,16500,3.023993561,28,4,Makasih ya,FALSE,Tidak Ada,Selesai
ORD-2024-000099,1/18/2024 14:44,Ayam,29000,0.812256,19,4,Enak bgt!!,FALSE,Tidak Ada,Selesai
ORD-2024-000100,1/9/2024 19:34,Ayam,26000,6.215513514,31,4,Buruan order!11,TRUE,Tidak Ada,Dibatalkan
ORD-2024-000101,1/27/2024 12:57,Ayam,63500,3.951646245,38,5,Puas bgt,FALSE,Tidak Ada,Selesai
ORD-2024-000102,30/03/2024 14:30,Martabak,27000,4.062881473,18,4,Top bgt kualitasnya,TRUE,Tidak Ada,Selesai
ORD-2024-000103,2/8/2024 13:34,Ayam,63500,17.01400908,83,1,Paket berantakan,FALSE,Tinggi,Selesai
ORD-2024-000104,3/18/2024 15:14,Kopi,21500,4.866453172,26,,,TRUE,Rendah,Selesai
ORD-2024-000105,4/1/2024 20:46,Mie,34500,5.30093254,27,,,TRUE,Tidak Ada,Selesai
ORD-2024-000106,1/17/2024 17:01,Ayam,24500,9.072735739,56,4,Puas bgt,FALSE,Tidak Ada,Selesai
ORD-2024-000107,3/13/2024 2:41,Kopi,13500,0.5,16,5,Mantap gan!,TRUE,Tidak Ada,Selesai
ORD-2024-000108,2/29/2024 13:24,Martabak,34000,2.065836696,9,5,Puas bgt,TRUE,Tidak Ada,Selesai
ORD-2024-000109,11/2/2024 14:17,Ayam,61000,2.606554608,25,5,Driver ramah,FALSE,Tidak Ada,Selesai
ORD-2024-000110,2/23/2024 11:30,Ayam,89000,1.198191448,20,4,Wow enak bgt,FALSE,Tidak Ada,Selesai
ORD-2024-000111,1/7/2024 11:14,Ayam,36500,5.486577897,41,2,Makanannya dingin,FALSE,Rendah,Selesai
ORD-2024-000112,24/03/2024 11:15,Ayam,71000,4.311747833,33,5,Nggg enak 😋,FALSE,Tidak Ada,Selesai
ORD-2024-000113,3/20/2024 12:30,Mie,28500,3.828373492,32,5,Rekomendasi deh,FALSE,Tidak Ada,Selesai
ORD-2024-000114,1/28/2024 19:49,Mie,14500,17.58071918,71,3,Yaudah minum teh,TRUE,Rendah,Selesai
ORD-2024-000115,18/03/2024 22:07,Martabak,26000,0.90080838,11,5,Buruan order!!!11,TRUE,Tinggi,Dibatalkan
ORD-2024-000116,2/9/2024 11:59,Mie,28000,3.989257264,24,4,Makasih ya,TRUE,Tidak Ada,Selesai
ORD-2024-000117,2/18/2024 18:04,Mie,14000,2.404900897,5,5,Enak bgt!!!,TRUE,Tidak Ada,Selesai
ORD-2024-000118,3/21/2024 13:54,Ayam,17000,1.126215723,28,,,FALSE,Rendah,Selesai
ORD-2024-000119,1/16/2024 18:50,Mie,13500,0.525156861,5,4,Wow enak bgt,TRUE,Tidak Ada,Selesai
ORD-2024-000120,2/24/2024 2:32,Kopi,17500,6.786744156,33,4,Sesuai pesanan,FALSE,Tidak Ada,Selesai
ORD-2024-000121,2/23/2024 3:27,Mie,22500,,15,5,Cepat sampai,TRUE,Rendah,Selesai
ORD-2024-000122,2/28/2024 13:11,Mie,21500,5.227773918,29,4,Cepat sampai,FALSE,Tidak Ada,Selesai
ORD-2024-000123,24/03/2024 14:29,Ayam,41500,2.364649063,27,4,Buruan order!11,FALSE,Tidak Ada,Selesai
ORD-2024-000124,3/16/2024 12:53,Ayam,27500,0.745295928,7,,,FALSE,Tidak Ada,Selesai
ORD-2024-000125,2/27/2024 14:36,Ayam,44000,1.235425212,21,,,TRUE,Tidak Ada,Selesai
ORD-2024-000126,2/13/2024 13:11,Kopi,9000,1.441562671,22,4,Akan order lg nih,FALSE,Tidak Ada,Selesai
ORD-2024-000127,2/3/2024 13:35,Mie,34500,10.82852091,44,4,Sesuai pesanan,FALSE,Tidak Ada,Selesai
ORD-2024-000128,1/25/2024 14:31,Mie,38000,0.5,23,,,FALSE,Tinggi,Selesai
ORD-2024-000129,3/29/2024 20:28,Ayam,12500,12.73536764,71,2,Driver gak ramah,FALSE,Tinggi,Selesai
ORD-2024-000130,2/7/2024 12:19,Kopi,14500,11.80612595,74,2,Lama bgt nunggunya,FALSE,Tinggi,Selesai
ORD-2024-000131,3/1/2024 19:27,Kopi,15000,16.67966245,70,2,😠😠😠,TRUE,Tinggi,Refund
ORD-2024-000132,2/15/2024 8:19,Ayam,48500,1.942160112,17,,,TRUE,Tinggi,Selesai
ORD-2024-000133,1/25/2024 12:12,Ayam,68500,9.956831911,50,3,Biasa saja,FALSE,Rendah,Selesai
ORD-2024-000134,5/2/2024 16:38,Ayam,3602500,1.510553085,20,1,Lama bgt nunggunya,FALSE,Tinggi,Selesai
ORD-2024-000135,1/25/2024 13:11,Mie,26000,0.5,31,,,TRUE,Tidak Ada,Selesai
ORD-2024-000136,3/9/2024 11:03,Ayam,42500,0.762150792,19,5,Makanan hangat sampai,TRUE,Tidak Ada,Selesai
ORD-2024-000137,1/17/2024 20:06,Kopi,25000,8.717468771,48,2,Paket berantakan,TRUE,Tinggi,Selesai
ORD-2024-000138,6/2/2024 20:21,Martabak,44000,0.5,5,,,FALSE,Tinggi,Selesai
ORD-2024-000139,2/2/2024 15:07,Kopi,13000,2.36893549,33,5,Akan order lg nih,TRUE,Tidak Ada,Selesai
ORD-2024-000140,3/3/2024 11:09,Mie,500,0.5,9,4,Makasih ya,TRUE,Tidak Ada,Selesai
ORD-2024-000141,2/8/2024 12:07,Mie,30000,1.012283709,5,5,Wow enak bgt,FALSE,Tidak Ada,Selesai
ORD-2024-000142,3/18/2024 21:14,Ayam,1500,0.5,5,5,Akan order lg nih,FALSE,Tidak Ada,Selesai
ORD-2024-000143,27/02/2024 09:55,Kopi,10000,5.88825456,30,5,Nggg enak 😋,FALSE,Rendah,Selesai
ORD-2024-000144,2/9/2024 17:39,Ayam,51500,2.682639066,9,,,FALSE,Tidak Ada,Selesai
ORD-2024-000145,1/27/2024 19:42,Ayam,48500,6.971624327,38,,,FALSE,Tidak Ada,Selesai
ORD-2024-000146,1/23/2024 18:00,Ayam,44000,3.497654347,10,4,Top bgt kualitasnya,FALSE,Tidak Ada,Selesai
ORD-2024-000147,3/17/2024 17:14,Martabak,33500,10.62439344,53,5,Mantap gan!,TRUE,Rendah,Dibatalkan
ORD-2024-000148,30/03/2024 02:43,Kopi,13500,2.139300705,21,4,Puas bgt,FALSE,Tidak Ada,Selesai
ORD-2024-000149,3/21/2024 18:27,Ayam,32000,3.054227788,25,3,Standar lah,FALSE,Tinggi,Refund
ORD-2024-000150,3/23/2024 13:52,Ayam,53500,2.576251314,15,4,Top bgt kualitasnya,TRUE,Tidak Ada,Selesai
ORD-2024-000151,1/22/2024 19:47,Mie,28500,1.986460047,28,,,TRUE,Tidak Ada,Selesai
ORD-2024-000152,2/6/2024 20:44,Ayam,32000,5.611616551,28,4,Nggg enak 😋,TRUE,Tidak Ada,Selesai
ORD-2024-000153,2/4/2024 20:28,Ayam,67000,3.102902212,21,4,Makanan hangat sampai,TRUE,Tidak Ada,Selesai
ORD-2024-000154,2/25/2024 19:16,Kopi,9000,4.84806257,25,5,Rekomendasi deh,TRUE,Tidak Ada,Selesai
ORD-2024-000155,27/03/2024 18:37,Mie,22000,4.63044405,26,4,Wow enak bgt,TRUE,Tidak Ada,Selesai
ORD-2024-000156,3/27/2024 18:02,Ayam,47000,0.636036559,32,5,Makasih ya,TRUE,Tinggi,Dibatalkan
ORD-2024-000157,3/1/2024 20:58,Martabak,25000,3.150868408,23,4,Rekomendasi deh,FALSE,Tidak Ada,Selesai
ORD-2024-000158,3/15/2024 20:05,Martabak,500,0.668111016,5,4,Puas bgt,TRUE,Tidak Ada,Selesai
ORD-2024-000159,2/12/2024 11:54,Ayam,42000,2.626313657,12,3,Biasa saja,FALSE,Tinggi,Dibatalkan
ORD-2024-000160,3/29/2024 20:52,Martabak,20500,3.394348903,22,5,Buruan order!11,FALSE,Tidak Ada,Selesai
ORD-2024-000161,28/02/2024 13:20,Kopi,20000,17.6722216,68,,,FALSE,Rendah,Selesai
ORD-2024-000162,2/21/2024 0:42,Martabak,30000,0.5,19,5,Puas bgt,FALSE,Tidak Ada,Selesai
ORD-2024-000163,2/22/2024 13:39,Martabak,27500,,5,4,Driver ramah,FALSE,Tidak Ada,Selesai
ORD-2024-000164,2/26/2024 6:17,Kopi,18500,0.5,11,5,Rekomendasi deh,FALSE,Tinggi,Selesai
ORD-2024-000165,6/2/2024 20:07,Ayam,53000,1.524294471,27,3,Lumayan,TRUE,Tinggi,Selesai
ORD-2024-000166,3/18/2024 22:10,Mie,20500,5.170985468,20,3,OK,FALSE,Tinggi,Dibatalkan
ORD-2024-000167,3/11/2024 18:53,Ayam,92500,5.574781334,36,5,Wow enak bgt,FALSE,Rendah,Selesai
ORD-2024-000168,1/16/2024 18:31,Ayam,64000,4.006571001,26,4,Driver ramah,TRUE,Tidak Ada,Selesai
ORD-2024-000169,6/3/2024 13:53,Ayam,53500,6.815534612,36,,,FALSE,Tidak Ada,Selesai
ORD-2024-000170,1/2/2024 18:24,Kopi,14500,1.169631451,21,1,Bau gak tauu,FALSE,Tinggi,Dibatalkan
ORD-2024-000171,3/6/2024 4:55,Martabak,37000,0.5,5,3,Gapapa,TRUE,Tinggi,Selesai
ORD-2024-000172,2/23/2024 13:52,Ayam,38500,0.5,25,,,FALSE,Tidak Ada,Selesai
ORD-2024-000173,8/2/2024 18:42,Kopi,13000,5.734320485,14,4,Makanan hangat sampai,TRUE,Tidak Ada,Selesai
ORD-2024-000174,2/27/2024 19:21,Ayam,80000,3.932851596,37,2,Paket berantakan,TRUE,Tinggi,Selesai
ORD-2024-000175,18/02/2024 19:55,Martabak,30000,3.598103331,29,4,Top bgt kualitasnya,TRUE,Tidak Ada,Selesai
ORD-2024-000176,1/31/2024 18:54,Ayam,38500,1.245075504,21,4,Top bgt kualitasnya,FALSE,Tidak Ada,Selesai
ORD-2024-000177,2/10/2024 22:58,Martabak,30000,1.433648673,27,,,FALSE,Tidak Ada,Selesai
ORD-2024-000178,25/03/2024 20:09,Kopi,20000,9.518377169,58,4,Enak bgt!!!,FALSE,Tidak Ada,Selesai
ORD-2024-000179,1/17/2024 21:21,Mie,30500,0.5,22,5,Mantap gan!,FALSE,Tidak Ada,Dibatalkan
ORD-2024-000180,2/26/2024 14:00,Ayam,68000,4.458101937,25,4,Mantap gan!!!,TRUE,Tidak Ada,Selesai
ORD-2024-000181,24/03/2024 02:30,Ayam,30500,1.111597223,10,4,Buruan order!11,TRUE,Tidak Ada,Selesai
ORD-2024-000182,13/02/2024 20:41,Ayam,67500,0.5,22,5,Enak bgttt,FALSE,Tinggi,Dibatalkan
ORD-2024-000183,3/27/2024 12:20,Mie,24500,4.071023612,31,3,Biasa saja,FALSE,Rendah,Selesai
ORD-2024-000184,3/3/2024 1:39,Mie,26500,1.205518551,16,4,Nggg enak 😋,FALSE,Tidak Ada,Selesai
ORD-2024-000185,3/28/2024 7:47,Ayam,72000,3.841994847,21,5,Mantap gan!!!,TRUE,Rendah,Selesai
ORD-2024-000186,1/13/2024 22:55,Martabak,35500,3.689455672,18,4,Buruan order!11,FALSE,Tidak Ada,Selesai
ORD-2024-000187,3/29/2024 11:02,Mie,28500,2.295778938,7,5,Sesuai pesanan,TRUE,Tidak Ada,Selesai
ORD-2024-000188,2/7/2024 20:09,Kopi,8000,4.506774402,34,3,Biasa saja,TRUE,Tidak Ada,Selesai
ORD-2024-000189,3/13/2024 5:10,Kopi,16500,2.609927487,16,,,FALSE,Tidak Ada,Selesai
ORD-2024-000190,2/18/2024 18:31,Ayam,38500,1.013293996,13,3,Biasa saja,FALSE,Rendah,Selesai
ORD-2024-000191,1/30/2024 19:29,Ayam,63500,3.97407758,9,,,TRUE,Tidak Ada,Selesai
ORD-2024-000192,2/29/2024 21:34,Mie,1603000,2.668506921,22,3,Biasa saja,FALSE,Tidak Ada,Selesai
ORD-2024-000193,2/14/2024 9:40,Mie,29000,0.5,5,5,Akan order lg nih,FALSE,Rendah,Selesai
ORD-2024-000194,2/28/2024 6:24,Martabak,35000,6.95749061,27,,,TRUE,Tidak Ada,Selesai
ORD-2024-000195,31/01/2024 19:36,Ayam,3533500,2.366620222,28,5,Rekomendasi deh,FALSE,Tinggi,Refund
ORD-2024-000196,2/7/2024 14:17,Ayam,41500,6.089150083,35,5,Sesuai pesanan,TRUE,Tidak Ada,Selesai
ORD-2024-000197,3/28/2024 1:58,Martabak,21000,6.430003891,28,1,Gak sesuai foto,FALSE,Tinggi,Dibatalkan
ORD-2024-000198,2/6/2024 7:38,Mie,20000,1.766181267,9,4,Makasih ya,FALSE,Rendah,Selesai
ORD-2024-000199,3/22/2024 13:43,Mie,2994000,2.125757211,14,,,TRUE,Rendah,Selesai
ORD-2024-000200,25/03/2024 04:40,Martabak,26000,1.612301447,28,4,Puas bgt,FALSE,Tidak Ada,Selesai
ORD-2024-000201,3/23/2024 14:02,Martabak,27500,1.79044044,26,5,Akan order lg nih,TRUE,Tidak Ada,Selesai
ORD-2024-000202,1/17/2024 13:20,Ayam,24000,,32,3,Gapapa,FALSE,Tidak Ada,Selesai
ORD-2024-000203,26/01/2024 13:33,Ayam,54500,4.655545639,28,5,Akan order lg nih,FALSE,Tidak Ada,Selesai
ORD-2024-000204,1/22/2024 14:51,Mie,25500,,16,3,Yaudah minum teh,TRUE,Rendah,Selesai
ORD-2024-000205,2/13/2024 14:04,Martabak,500,2.827194105,26,,,TRUE,Tidak Ada,Selesai
ORD-2024-000206,29/01/2024 23:43,Ayam,80000,16.49516767,59,3,OK,FALSE,Tidak Ada,Selesai
ORD-2024-000207,3/12/2024 20:00,Ayam,77500,2.71568668,5,4,Makanan hangat sampai,FALSE,Tidak Ada,Selesai
ORD-2024-000208,28/02/2024 19:37,Martabak,18000,4.62353869,28,4,Akan order lg nih,FALSE,Tidak Ada,Selesai
ORD-2024-000209,2/17/2024 12:30,Ayam,19500,4.396811167,27,5,Nggg enak 😋,FALSE,Rendah,Selesai
ORD-2024-000210,3/12/2024 12:41,Ayam,52000,1.29381461,36,4,Mantap gan!,FALSE,Tidak Ada,Selesai
ORD-2024-000211,2/29/2024 9:41,Kopi,13500,1.394925532,36,,,FALSE,Tidak Ada,Selesai
ORD-2024-000212,1/6/2024 9:31,Martabak,21000,3.862894026,27,5,Sesuai pesanan,TRUE,Tidak Ada,Selesai
ORD-2024-000213,9/3/2024 14:23,Martabak,30000,2.079342733,13,4,Makanan hangat sampai,FALSE,Tidak Ada,Selesai
ORD-2024-000214,3/30/2024 13:37,Ayam,55500,2.535894547,28,,,FALSE,Tidak Ada,Refund
ORD-2024-000215,23/02/2024 15:39,Martabak,23500,3.743834582,8,5,Enak bgt,FALSE,Tidak Ada,Selesai
ORD-2024-000216,2/5/2024 13:13,Ayam,41000,4.509496303,23,5,Top bgt kualitasnya,FALSE,Tidak Ada,Selesai
ORD-2024-000217,1/31/2024 3:43,Ayam,38500,0.950371229,5,3,Yaudah minum teh,FALSE,Rendah,Selesai
ORD-2024-000218,23/03/2024 20:17,Martabak,27000,,19,,,FALSE,Tidak Ada,Selesai
ORD-2024-000219,2/28/2024 12:41,Martabak,34000,1.035063541,5,,,FALSE,Tinggi,Selesai
ORD-2024-000220,1/3/2024 13:15,Mie,18500,2.125015917,17,5,Akan order lg nih,FALSE,Tidak Ada,Selesai
